,gender,expiration,age,time,education,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,income_ub,income_lb,destination,passanger,weather,coupon,maritalStatus,occupation,temperature,has_children,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
0,1.0,24.0,21.0,14.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.5943512945166481,0.46878199657815467,0.6194965858208792,0.70670266602819,0.5962635394073444,0.604784209597304,55.0,1.0,0.0,0.0,0.0,1.0,1
1,1.0,2.0,21.0,10.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.574298458152045,0.75470061353209,0.5143080519848398,0.5094182509813003,0.5969512389947124,0.5880865175204542,80.0,1.0,0.0,0.0,0.0,1.0,0
2,1.0,2.0,21.0,10.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.6873104095623989,0.6342814532343313,0.6431374400565745,0.7501314459614851,0.606631876994118,0.5270025037078476,80.0,1.0,1.0,0.0,0.0,1.0,1
3,1.0,2.0,21.0,14.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.5885722207829279,0.6248498032511574,0.5565997008103166,0.5484175569739557,0.5220190118381783,0.5502601277305483,80.0,1.0,1.0,0.0,0.0,1.0,0
4,1.0,24.0,21.0,14.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.6341665860213948,0.7161672156239313,0.6443231297738378,0.49009620791875824,0.5034792944271279,0.520708604466903,80.0,1.0,1.0,0.0,0.0,1.0,0
5,1.0,2.0,21.0,18.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.7234570124033636,0.6510093561737323,0.688097766590168,0.660136020552845,0.5130545598190437,0.626888721233267,80.0,1.0,1.0,0.0,0.0,1.0,1
6,1.0,24.0,21.0,14.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.6906322528836345,0.6267609678532959,0.552146765242179,0.7725290199910079,0.538697108972873,0.5316655374721756,55.0,1.0,1.0,0.0,0.0,1.0,1
7,1.0,2.0,21.0,10.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.6732620491890969,0.47814714096613803,0.6186417315687645,0.7256883492936462,0.48004217919872005,0.5742273044007622,80.0,1.0,1.0,0.0,0.0,1.0,1
8,1.0,2.0,21.0,10.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.6985865345829025,0.5517474349782245,0.5888075359098262,0.7484892452461386,0.653177523748404,0.5310469735874237,80.0,1.0,1.0,0.0,0.0,1.0,1
9,1.0,24.0,21.0,10.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.6378570939945598,0.519427741217457,0.5579859098287784,0.4149693180808167,0.4839807375156909,0.6254453057016648,80.0,1.0,1.0,0.0,0.0,1.0,0
10,1.0,24.0,21.0,14.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.5690873788938521,0.4111768632125587,0.6630398316893193,0.6654053073806868,0.5861964197598509,0.5600428504086061,80.0,1.0,0.0,0.0,0.0,1.0,1
11,1.0,24.0,21.0,14.0,3.0,0.0,0.0,2.0,3.0,2.0,49999.0,37500.0,0.5811006566935394,0.5254220829428996,0.5539543526061657,0.6801620004790105,0.4532651217217885,0.5480404962399678,55.0,1.0,1.0,0.0,0.0,1.0,1
